	Вакансия	Ссылка	Мин. з/п	Макс. з/п	Валюта	Источник
0	Продавец (Юрга)	https://hhcdn.ru/click?b=203446&place=35		25100	RUB	https://hh.ru/
1	Продавец	https://hhcdn.ru/click?b=204968&place=36				https://hh.ru/
2	Продавец-консультант	https://hh.ru/vacancy/42969952?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		70000	RUB	https://hh.ru/
3	Продавец	https://hh.ru/vacancy/41948694?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	45000	70000	RUB	https://hh.ru/
4	Продавец-консультант	https://hh.ru/vacancy/42940784?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	120000	180000		https://hh.ru/
5	Продавец-консультант	https://hh.ru/vacancy/42977356?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	1000	1700		https://hh.ru/
6	Продавец-консультант (Зеленоград)	https://hh.ru/vacancy/40862929?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	45000	55000	RUB	https://hh.ru/
7	Продавец-консультант люкс аксессуаров в г. Алматы	https://hh.ru/vacancy/43008819?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86				https://hh.ru/
8	Продавец-кассир	https://hh.ru/vacancy/42805245?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	45000	70000	RUB	https://hh.ru/
9	Продавец-консультант	https://hh.ru/vacancy/42947395?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	100000	450000		https://hh.ru/
10	Продавец-кассир / Продавец-консультант в магазин Чудесное Рядом	https://hh.ru/vacancy/42582080?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	37000	55000	RUB	https://hh.ru/
11	Продавец-консультант	https://hh.ru/vacancy/42509650?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86		655		https://hh.ru/
12	Продавец-консультант	https://hh.ru/vacancy/42571298?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	100000	300000		https://hh.ru/
13	Продавец	https://hh.ru/vacancy/42404762?query=%D0%BF%D1%80%D0%BE%D0%B4%D0%B0%D0%B2%D0%B5%D1%86	950	1550		https://hh.ru/
